index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
70309,779,7,s,x,/,s,o,22
70310,16123,7,s,o,/,s,p,14
70311,922,7,s,p,/,s,x,30
70312,1745,7,s,x,/,s,o,24
70313,19921,7,s,o,/,s,x,6
70314,470,7,s,x,/,s,o,32
70315,12439,7,s,p,/,s,o,14
70316,1017,7,s,x,/,s,p,32
70317,1766,7,s,p,/,s,x,36
70318,2529,7,s,o,/,s,p,18
70319,3550,7,s,p,/,s,x,32
70320,6935,7,s,x,/,s,p,27
70321,16125,7,s,o,/,s,x,16
70322,29442,7,s,o,/,s,x,15
70323,25330,7,s,x,/,s,o,28
70324,8618,7,s,o,/,s,x,18
70325,28470,7,s,p,/,s,x,20
70326,610,7,s,o,/,s,p,26
70327,8005,7,s,p,/,s,o,12
70328,16149,7,s,x,/,s,o,17
70329,1035,7,s,o,/,s,x,8
70330,960,7,s,x,/,s,p,25
70331,4170,7,s,p,/,s,o,21
70332,2704,7,s,x,/,s,o,34
70333,10455,7,s,x,/,s,o,18
70334,11599,7,s,o,/,s,x,16
70335,6491,7,s,x,/,s,p,22
70336,8620,7,s,x,/,s,p,24
70337,1371,7,s,x,/,s,o,24
70338,20366,7,s,p,/,s,x,21
70339,21187,7,s,o,/,s,x,20
70340,133,7,s,o,/,s,x,19
70341,5941,7,s,o,/,s,x,19
70342,1028,7,s,o,/,s,x,30
70343,4945,7,s,o,/,s,x,21
70344,39109,7,s,x,/,s,o,24
70345,25479,7,s,x,/,s,o,29
70346,8847,7,s,p,/,s,x,18
70347,42827,7,s,o,/,s,x,15
70348,967,7,s,o,/,s,x,15
70349,136,7,s,o,/,s,x,9
70350,13086,7,s,p,/,s,o,16
70351,16693,7,s,o,/,s,p,16
70352,2099,7,s,o,/,s,p,15
70353,10867,7,s,x,/,s,p,11
70354,9852,7,s,p,/,s,x,8
70355,127219,7,s,x,/,s,o,25
70356,1026,7,s,p,/,s,x,10
70357,3135,7,s,p,/,s,x,13
70358,11033,7,s,o,/,s,x,9
70359,16710,7,s,x,/,s,o,17
70360,1054,7,s,x,/,s,o,16
70361,12473,7,s,x,/,s,o,15
70362,1052,7,s,x,/,s,o,25
70363,2309,7,s,o,/,s,p,13
70364,8815,7,s,x,/,s,o,15
70365,33143,7,s,x,/,s,o,20
70366,793,7,s,p,/,s,x,20
70367,2977,7,s,p,/,s,x,19
70368,22592,7,s,x,/,s,p,11
70369,2488,7,s,p,/,s,o,12
70370,81146,7,s,o,/,s,x,18
70371,472,7,s,x,/,s,o,35
70372,2921,7,s,x,/,s,p,18
70373,20952,7,s,o,/,s,p,13
70374,30285,7,s,o,/,s,x,15
70375,3068,7,s,p,/,s,x,32
70376,11673,7,s,o,/,s,p,11
70377,12333,7,s,p,/,s,o,11
70378,24705,7,s,p,/,s,x,8
70379,9261,7,s,o,/,s,x,14
70380,856,7,s,o,/,s,x,14
70381,23477,7,s,o,/,s,x,15
70382,19843,7,s,p,/,s,o,20
70383,103787,7,s,x,/,s,o,17
70384,10131,7,s,o,/,s,x,20
70385,40338,7,s,o,/,s,p,22
70386,27109,7,s,o,/,s,p,16
70387,48978,7,s,p,/,s,o,21
70388,22499,7,s,o,/,s,p,7
70389,18632,7,s,o,/,s,x,18
70390,993,7,s,p,/,s,o,15
70391,2303,7,s,o,/,s,p,9
70392,37571,7,s,o,/,s,x,8
70393,14694,7,s,o,/,s,x,11
70394,23611,7,s,p,/,s,x,14
70395,25838,7,s,o,/,s,x,8
70396,15528,7,s,o,/,s,p,11
70397,13926,7,s,x,/,s,o,10
70398,1018,7,s,p,/,s,x,8
70399,3818,7,s,o,/,s,x,10
70400,27169,7,s,x,/,s,o,7
70401,35121,7,s,o,/,s,x,28
70402,242621,7,s,o,/,s,p,8
70403,14696,7,s,p,/,s,x,8
70404,22625,7,s,x,/,s,o,19
70405,16732,7,s,x,/,s,o,8
70406,989,7,s,x,/,s,o,9
70407,16084,7,s,o,/,s,x,16
70408,96848,7,s,o,/,s,x,11
70409,13051,7,s,x,/,s,p,9
70410,36557,7,s,o,/,s,p,5
70411,74072,7,s,o,/,s,x,5
70412,13927,7,s,x,/,s,p,9
70413,35640,7,s,o,/,s,p,3
70414,41634,7,s,x,/,s,o,9
70415,137,7,s,o,/,s,x,7
70416,5806,7,s,x,/,s,o,9
70417,22291,7,s,x,/,s,p,6
70418,9109,7,s,o,/,s,x,23
70419,11708,7,s,x,/,s,p,5
70420,12664,7,s,o,/,s,x,13
70421,62920,7,s,x,/,s,o,16
70422,11998,7,s,p,/,s,x,7
70423,21565,7,s,p,/,s,o,12
70424,451,7,s,o,/,s,x,11
70425,1061,7,s,p,/,s,x,10
70426,20307,7,s,x,/,s,o,9
70427,12474,7,s,p,/,s,o,9
70428,315063,7,s,o,/,s,x,18
70429,964,7,s,x,/,s,o,15
70430,10153,7,s,o,/,s,x,16
70431,19307,7,s,o,/,s,p,6
70432,23674,7,s,x,/,s,p,6
70433,1399,7,s,o,/,s,x,12
70434,287677,7,s,p,/,s,o,1
70435,20287,7,s,p,/,s,x,7
70436,15624,7,s,o,/,s,x,6
70437,11816,7,s,p,/,s,x,11
70438,23612,7,s,p,/,s,o,10
70439,194846,7,s,o,/,s,x,18
70440,1037,7,s,o,/,s,p,5
70441,20739,7,s,o,/,s,x,17
70442,22610,7,s,o,/,s,x,11
70443,483144,7,s,p,/,s,o,14
70444,41856,7,s,x,/,s,o,9
70445,23651,7,s,x,/,s,p,10
70446,981,7,s,o,/,s,x,7
70447,1080,7,s,x,/,s,o,3
70448,131784,7,s,o,/,s,x,6
70449,16704,7,s,p,/,s,o,8
70450,13087,7,s,p,/,s,x,4
70451,23161,7,s,o,/,s,x,14
70452,42452,7,s,o,/,s,x,11
70453,20951,7,s,p,/,s,x,16
70454,129,7,s,o,/,s,p,2
70455,33310,7,s,o,/,s,p,10
70456,10457,7,s,o,/,s,x,7
70457,20950,7,s,o,/,s,p,2
70458,953,7,s,x,/,s,p,9
70459,47821,7,s,o,/,s,x,19
70460,74088,7,s,x,/,s,o,12
