12073,16261,4,S,C,U,E,I,6
12074,80455,4,R,C,O,E,I,5
12075,12001,4,S,C,O,E,I,4
12076,33323,4,R,L,U,A,I,5
12077,4825,4,R,C,U,A,I,3
12078,155747,4,R,C,U,A,N,3
12079,3817,4,R,L,O,A,N,3
12080,34022,4,S,C,O,E,N,4
12081,1030,4,R,C,O,A,N,2
12082,41635,4,S,C,U,A,I,11
12083,320310,4,R,C,U,A,N,9
12084,6217,4,S,C,O,A,I,1
12085,14937,4,S,C,O,A,I,1
12086,21059,4,S,C,O,A,I,3
12087,22598,4,R,C,O,E,I,6
12088,23916,4,R,C,U,E,I,2
12089,43585,4,R,C,O,A,N,7
12090,3486,4,R,L,O,A,N,1
12091,23289,4,S,C,O,A,I,3
12092,1586,4,R,C,O,E,I,3
12093,15529,4,R,L,U,A,N,4
12094,25899,4,S,L,U,E,I,3
12095,65731,4,R,L,U,A,I,8
12096,19924,4,S,L,U,A,I,6
12097,38735,4,S,C,O,A,N,3
12098,127863,4,R,L,O,A,I,1
12099,20364,4,R,C,U,A,I,1
12100,49332,4,S,C,O,A,I,5
12101,160693,4,R,C,O,A,I,2
12102,215944,4,R,C,U,A,I,1
12103,34259,4,S,C,O,A,N,2
12104,49108,4,R,C,O,A,I,2
12105,20439,4,S,L,U,A,I,3
12106,48640,4,S,C,O,A,I,1
12107,56997,4,R,L,O,A,I,2
12108,9018,4,R,L,U,E,N,6
12109,13915,4,S,C,U,E,I,2
12110,3098,4,S,L,O,E,N,2
12111,27901,4,S,L,O,A,I,1
12112,8006,4,R,C,U,E,I,2
12113,20401,4,R,C,O,A,I,2
12114,39761,4,S,C,O,A,I,3
12115,54847,4,S,L,O,A,I,3
12116,138905,4,R,L,O,A,I,1
12117,171031,4,R,L,U,E,I,4
12118,194842,4,S,L,U,A,I,5
12119,13916,4,R,C,O,E,N,2
12120,28476,4,S,L,O,A,N,5
12121,95281,4,S,C,U,A,I,2
12122,567981,4,R,C,U,E,N,1
12123,20286,4,S,C,O,A,I,2
12124,26795,4,S,L,U,E,I,6
12125,40348,4,S,L,O,A,N,2
12126,36253,4,R,C,U,E,I,1
12127,36887,4,R,C,O,A,N,2
12128,48642,4,R,C,U,A,I,1
12129,167569,4,R,C,U,A,I,2
12130,9893,4,R,C,O,A,I,4
12131,15798,4,S,C,U,A,I,3
12132,25886,4,S,L,U,A,I,2
12133,40321,4,R,C,O,A,I,3
12134,65030,4,S,C,O,A,I,5
12135,551222,4,R,L,O,A,I,5
12136,10025,4,R,L,O,A,I,1
12137,10345,4,R,C,U,A,N,2
12138,19094,4,S,C,O,A,I,3
12139,19578,4,S,C,O,A,I,2
12140,19934,4,R,L,U,A,I,1
12141,22617,4,S,L,U,E,I,1
12142,40027,4,S,L,O,A,I,2
12143,101866,4,S,C,U,A,I,2
12144,131504,4,R,C,U,A,I,1
12145,8842,4,S,L,U,A,I,3
12146,10875,4,S,C,O,E,I,1
12147,22146,4,S,C,U,E,I,4
12148,31772,4,S,C,O,A,N,1
12149,42423,4,S,C,U,E,N,2
12150,122363,4,R,C,O,A,I,1
12151,222129,4,S,L,O,A,N,10
12152,351348,4,S,C,U,A,I,2
12153,540666,4,R,C,O,A,N,14
12154,661164,4,S,L,O,A,I,1
12155,16791,4,R,C,O,A,I,1
12156,16951,4,S,C,O,A,I,3
12157,25806,4,S,C,U,A,N,1
12158,48610,4,S,L,U,E,I,6
12159,85665,4,S,C,O,E,I,2
12160,112569,4,R,C,U,A,N,2
12161,153085,4,R,L,U,E,I,5
12162,194843,4,S,C,U,A,I,1
12163,3069,4,S,C,O,A,I,2
12164,19305,4,S,C,U,E,N,3
12165,19309,4,R,L,O,A,I,6
12166,22866,4,S,C,U,A,I,2
12167,35832,4,R,L,U,E,N,1
12168,40026,4,S,C,O,E,I,1
12169,48646,4,S,L,O,E,N,1
12170,8619,4,S,C,U,A,N,1
12171,22551,4,S,C,O,A,I,5
12172,22614,4,S,C,U,E,I,3
12173,34017,4,S,C,U,A,N,4
12174,35516,4,S,L,U,E,N,3
12175,295559,4,S,C,U,E,N,1
12176,20423,4,R,L,O,E,I,1
12177,26760,4,R,L,O,A,I,2
12178,28595,4,R,C,O,E,I,4
12179,34287,4,R,C,O,A,I,2
12180,34611,4,S,C,U,A,I,1
12181,44704,4,S,C,U,A,N,7
12182,68742,4,R,C,O,A,I,3
12183,83959,4,S,L,U,A,I,4
12184,10759,4,R,L,U,E,I,2
12185,15658,4,R,C,O,A,I,1
12186,21960,4,R,C,U,A,N,2
12187,38772,4,S,C,O,A,I,1
12188,60950,4,S,C,O,A,I,1
12189,101563,4,R,C,O,A,I,1
12190,110867,4,S,C,U,A,I,2
12191,180841,4,S,L,U,E,I,10
12192,19287,4,S,L,U,A,I,2
12193,20849,4,S,L,U,E,N,1
12194,20854,4,R,C,U,A,I,1
12195,33554,4,S,C,O,A,N,2
12196,49748,4,R,L,U,A,I,2
12197,60979,4,S,L,U,A,N,1
12198,63195,4,S,L,U,A,I,6
12199,182014,4,S,L,O,A,I,1
12200,334876,4,S,C,U,E,I,3
12201,353087,4,S,C,O,A,I,3
12202,25480,4,S,C,O,A,I,2
12203,31261,4,S,L,O,A,I,3
12204,32822,4,S,C,O,A,I,1
12205,33620,4,S,L,U,A,I,2
12206,41013,4,R,L,O,E,I,2
12207,42427,4,S,C,O,A,N,1
12208,66549,4,S,C,U,A,I,1
12209,81938,4,R,L,U,A,I,2
12210,118421,4,S,C,U,A,I,3
12211,141727,4,R,C,O,E,N,2
12212,16721,4,S,C,U,A,I,1
12213,17524,4,S,C,U,E,I,3
12214,20290,4,R,L,O,A,I,3
12215,28412,4,R,L,U,A,I,3
12216,32339,4,S,C,O,A,I,1
