index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
226534,50260,8,M,e,o,l,e,3
226535,24836,8,P,h,o,m,i,5
226536,11053,8,C,h,n,g,u,5
226537,54780,8,M,e,o,l,e,1
226538,38858,8,M,e,o,l,e,5
226539,54745,8,C,h,o,m,i,3
226540,24829,8,P,h,o,m,i,4
226541,129870,8,C,h,l,e,g,2
226542,46208,8,C,h,o,m,i,3
226543,99167,8,C,h,l,a,n,2
226544,24831,8,S,a,l,e,g,1
226545,85534,8,S,a,o,m,i,4
226546,26380,8,C,h,o,m,i,2
226547,50201,8,P,h,o,l,e,5
226548,50258,8,C,h,l,a,n,8
226549,217410,8,M,e,o,l,e,2
226550,41819,8,C,h,o,m,i,3
226551,67089,8,M,e,o,l,e,1
226552,140771,8,C,h,l,a,n,3
226553,126565,8,C,h,o,m,i,2
226554,42978,8,P,h,l,a,n,1
226555,39247,8,C,h,l,e,g,2
226556,109392,8,S,a,o,m,i,3
226557,127237,8,P,h,o,m,i,1
226558,42979,8,M,e,n,g,u,6
226559,142410,8,C,h,l,a,n,2
226560,206607,8,C,h,l,e,g,8
226561,41818,8,P,h,o,l,e,1
226562,202848,8,C,h,l,e,g,6
226563,42344,8,M,e,o,l,e,1
226564,57926,8,P,h,n,g,u,1
226565,129867,8,M,e,o,m,i,2
226566,280574,8,M,e,o,l,e,1
226567,39282,8,M,e,o,l,e,2
226568,112910,8,M,e,o,l,e,3
226569,145936,8,P,h,o,m,i,1
226570,356789,8,C,h,l,a,n,2
226571,42780,8,S,a,o,l,e,2
226572,42975,8,C,h,l,e,g,1
226573,77195,8,S,a,o,m,i,1
226574,109138,8,S,a,o,m,i,2
226575,176997,8,P,h,o,m,i,1
226576,264993,8,C,h,o,m,i,3
226577,263078,8,P,h,o,l,e,3
226578,263085,8,P,h,o,m,i,2
226579,481772,8,P,h,o,m,i,2
226580,39460,8,C,h,l,a,n,1
226581,109472,8,S,a,l,a,n,1
226582,110125,8,S,a,l,e,g,3
226583,116354,8,M,e,o,m,i,2
226584,354671,8,M,e,l,e,g,4
226585,368363,8,S,a,o,m,i,1
226586,56986,8,P,h,o,l,e,2
226587,76204,8,C,h,l,e,g,1
226588,114021,8,P,h,o,m,i,1
226589,124778,8,S,a,l,e,g,1
226590,152518,8,C,h,n,g,u,1
226591,253733,8,C,h,o,m,i,3
226592,280575,8,M,e,o,l,e,2
226593,284583,8,C,h,n,g,u,3
226594,429344,8,P,h,l,a,n,1
226595,517590,8,C,h,l,a,n,1
226596,142420,8,C,h,n,g,u,1
226597,236040,8,C,h,n,g,u,1
226598,246955,8,M,e,n,g,u,1
226599,309745,8,C,h,o,m,i,2
226600,399536,8,M,e,o,l,e,1
226601,463519,8,C,h,o,m,i,1
226602,112378,8,C,h,n,g,u,2
226603,310368,8,M,e,o,m,i,2
226604,310370,8,S,a,o,m,i,2
226605,352559,8,C,h,l,a,n,2
226606,352569,8,C,h,o,m,i,4
226607,378493,8,M,e,n,g,u,1
226608,446159,8,P,h,o,m,i,1
226609,165083,8,P,h,l,a,n,1
