index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
328,171031,3,L,E,V,F,,2
329,13916,3,V,F,E,L,,1
330,28476,3,V,L,F,E,,5
331,95281,3,E,V,L,F,,1
332,20286,3,F,E,V,L,,3
333,26795,3,E,V,L,F,,5
334,40348,3,E,V,F,L,,5
335,36887,3,F,L,V,E,,2
336,9893,3,V,L,E,F,,1
337,15798,3,V,F,L,E,,2
338,25886,3,E,F,L,V,,2
339,40321,3,F,V,E,L,,2
340,65030,3,L,E,V,F,,3
341,551222,3,L,E,V,F,,3
342,10025,3,L,E,V,F,,1
343,10345,3,F,V,E,L,,1
344,19578,3,V,E,F,L,,1
345,19934,3,L,E,V,F,,1
346,22617,3,V,E,L,F,,3
347,40027,3,V,L,F,E,,2
348,8842,3,F,E,V,L,,1
349,42423,3,E,F,V,L,,1
350,222129,3,E,F,V,L,,2
351,351348,3,E,F,V,L,,2
352,540666,3,F,V,E,L,,8
353,661164,3,L,F,V,E,,1
354,16791,3,E,V,L,F,,1
355,16951,3,E,F,L,V,,2
356,48610,3,V,F,L,E,,4
357,85665,3,V,F,E,L,,1
358,112569,3,F,E,V,L,,1
359,153085,3,L,E,V,F,,2
360,3069,3,V,L,E,F,,1
361,19309,3,E,L,V,F,,4
362,22866,3,E,V,F,L,,1
363,37228,3,F,E,L,V,,1
364,48646,3,F,V,L,E,,2
365,22551,3,E,V,F,L,,4
366,22614,3,F,L,E,V,,3
367,34017,3,F,E,L,V,,2
368,26760,3,E,V,L,F,,3
369,28595,3,F,L,V,E,,6
370,44704,3,F,V,L,E,,6
371,68742,3,F,V,L,E,,1
372,83959,3,F,L,E,V,,8
373,15658,3,E,F,L,V,,1
374,101563,3,L,E,F,V,,1
375,110867,3,V,E,L,F,,1
376,180841,3,E,F,L,V,,6
377,19287,3,E,V,L,F,,1
378,33554,3,V,E,F,L,,2
379,49748,3,E,L,V,F,,1
380,63195,3,E,V,F,L,,3
381,334876,3,V,L,F,E,,2
382,353087,3,V,F,L,E,,2
383,25480,3,V,E,L,F,,1
384,33620,3,E,V,F,L,,2
385,41013,3,L,E,F,V,,2
386,81938,3,F,E,V,L,,1
387,141727,3,E,F,L,V,,1
388,156628,3,E,F,L,V,,1
389,28412,3,F,E,L,V,,1
390,48641,3,V,L,E,F,,1
391,194845,3,L,V,F,E,,1
392,10009,3,V,L,E,F,,2
393,12217,3,F,V,L,E,,3
