index,celebid,pid,letter1,letter2,letter3,letter4,letter5,totalvotes
164786,1399,6,E,I,E,,,8
164787,287677,6,E,I,E,,,3
164788,20287,6,S,L,E,,,10
164789,15624,6,E,S,I,,,4
164790,11816,6,I,L,I,,,9
164791,23612,6,E,I,I,,,8
164792,194846,6,E,S,E,,,9
164793,1037,6,S,E,E,,,8
164794,20739,6,I,E,E,,,10
164795,22610,6,E,S,E,,,11
164796,483144,6,S,E,E,,,8
164797,41856,6,L,I,E,,,9
164798,23651,6,L,I,I,,,7
164799,981,6,I,E,E,,,7
164800,1080,6,I,L,E,,,9
164801,131784,6,E,I,E,,,4
164802,16704,6,E,I,E,,,3
164803,13087,6,L,I,I,,,11
164804,23161,6,S,E,E,,,4
164805,42452,6,E,S,E,,,7
164806,20951,6,I,L,E,,,9
164807,129,6,S,E,E,,,6
164808,33310,6,S,E,I,,,8
164809,10457,6,E,I,E,,,5
164810,20950,6,S,E,I,,,1
164811,953,6,L,I,I,,,7
164812,47821,6,E,S,E,,,11
164813,74088,6,E,S,E,,,5
164814,8844,6,I,L,E,,,14
164815,20427,6,I,L,I,,,10
164816,1053,6,S,E,I,,,8
164817,10878,6,I,L,I,,,16
164818,98731,6,S,E,E,,,20
164819,19310,6,E,I,I,,,3
164820,22500,6,E,I,E,,,3
164821,49090,6,E,I,E,,,1
164822,96165,6,I,E,E,,,1
164823,105942,6,E,S,E,,,5
164824,3816,6,E,S,I,,,9
164825,13050,6,I,L,E,,,7
164826,26224,6,E,I,E,,,5
164827,32766,6,I,E,E,,,2
164828,50368,6,I,E,E,,,5
164829,1009,6,S,E,E,,,7
164830,175609,6,I,E,I,,,3
164831,192410,6,I,E,E,,,3
164832,14547,6,I,L,E,,,6
164833,16124,6,I,E,I,,,1
164834,33596,6,I,L,E,,,9
164835,36639,6,S,L,E,,,13
164836,22292,6,E,I,E,,,4
164837,33303,6,I,E,E,,,1
164838,1022,6,I,E,I,,,13
164839,3151,6,S,E,I,,,3
164840,9294,6,L,I,I,,,8
164841,5461,6,I,L,E,,,5
164842,7847,6,S,L,I,,,11
164843,10032,6,L,S,I,,,11
164844,20434,6,S,L,E,,,7
164845,53974,6,E,I,E,,,5
164846,36574,6,S,E,I,,,3
164847,74066,6,E,S,E,,,7
164848,9264,6,E,I,I,,,2
164849,10157,6,S,L,E,,,17
164850,45155,6,E,S,E,,,4
164851,49116,6,L,S,E,,,7
164852,11313,6,E,I,E,,,11
164853,13924,6,E,S,E,,,5
164854,58338,6,E,I,E,,,1
164855,75832,6,S,L,E,,,12
164856,5467,6,E,I,I,,,3
164857,21284,6,I,L,E,,,5
164858,28273,6,I,E,I,,,11
164859,50585,6,S,E,E,,,9
164860,9802,6,E,I,I,,,4
164861,14849,6,E,S,E,,,7
164862,16260,6,I,E,E,,,6
164863,22509,6,E,I,I,,,7
164864,38266,6,I,E,I,,,1
164865,48408,6,E,I,I,,,4
164866,13921,6,L,I,E,,,6
164867,72040,6,S,L,I,,,3
164868,105141,6,I,E,I,,,9
164869,5460,6,S,E,I,,,4
164870,16261,6,I,L,E,,,4
164871,80455,6,L,I,E,,,5
164872,12001,6,I,E,E,,,6
164873,33323,6,I,E,I,,,7
164874,4825,6,I,E,E,,,2
164875,155747,6,S,E,E,,,4
164876,3817,6,I,E,E,,,5
164877,34022,6,S,L,E,,,8
164878,1030,6,E,S,I,,,4
164879,41635,6,S,E,I,,,7
164880,320310,6,S,L,I,,,6
164881,6217,6,I,L,E,,,5
164882,14937,6,I,E,E,,,5
164883,21059,6,I,L,E,,,2
164884,22598,6,I,L,E,,,8
164885,23916,6,I,L,E,,,7
164886,43585,6,S,E,I,,,7
164887,3486,6,E,S,E,,,5
164888,23289,6,E,I,E,,,4
164889,227580,6,S,E,E,,,2
164890,1586,6,E,I,E,,,6
164891,15529,6,S,E,I,,,8
164892,25899,6,I,L,E,,,7
164893,65731,6,I,E,I,,,9
164894,72657,6,E,I,I,,,2
164895,19924,6,E,S,E,,,10
164896,38735,6,S,E,I,,,9
164897,127863,6,I,E,I,,,1
164898,20364,6,S,E,I,,,2
164899,49332,6,E,I,E,,,3
164900,160693,6,L,I,I,,,1
164901,215944,6,E,I,I,,,1
164902,34259,6,E,S,E,,,3
164903,49108,6,I,L,I,,,3
164904,20439,6,I,L,E,,,8
164905,56997,6,S,E,I,,,4
164906,9018,6,E,S,I,,,5
164907,13915,6,I,L,E,,,8
164908,3098,6,I,L,E,,,2
