id,classic_jungian,classic_jungian_total_voted
85658,IS(T),3
87901,EN(F),2
27618,ES(T),1
36650,EN(F),1
125877,IN(F),4
812747,EN(F),3
9679,ES(T),1
20279,ET(S),1
23179,EN(T),1
42935,EN(F),1
43076,ES(F),1
45319,EN(T),1
49938,EN(T),2
58424,EF(S),2
131503,EN(F),1
43959,EF(S),2
47658,ES(T),1
66880,IT(S),1
15163,EN(F),1
21955,ES(T),1
23609,IF(N),3
242292,ES(F),1
31697,EN(F),1
33544,EF(S),1
110768,ES(T),1
114110,IS(F),1
122825,EF(N),1
193822,ES(F),1
251983,IF(S),2
21688,EN(F),2
29712,IN(T),1
33304,IN(F),1
71905,EF(S),1
74057,EF(N),1
22591,EN(F),1
34077,IS(F),1
36649,EF(N),1
88069,IT(S),1
123346,IS(F),1
277744,ES(F),2
12098,IF(S),1
43494,ES(F),1
44737,ET(N),1
54862,ES(T),1
55019,ET(S),1
10498,IT(S),1
44741,EN(F),2
131818,EF(N),1
176814,IN(F),1
255956,EN(T),1
313446,EF(N),1
321875,IN(T),1
14932,EF(N),1
134124,IN(T),2
166782,EF(N),1
215391,IN(F),1
221978,IN(T),1
253521,ET(S),1
293964,EN(F),1
306672,IT(S),1
592722,EF(N),3
21870,EF(S),1
21871,EF(N),1
58339,EN(T),1
146013,EF(N),1
167286,ES(T),2
174332,EN(F),1
253523,IF(S),1
255649,ES(F),3
276244,ET(N),2
428650,IF(N),1
32821,ES(F),1
88303,IT(S),1
96533,EF(S),3
113799,EF(N),1
329282,EN(F),1
413700,IT(N),1
428071,EN(F),7
517379,ES(F),1
20283,ES(F),1
33617,ES(F),1
88574,EF(S),1
99561,EF(S),1
247153,ES(T),1
310397,EN(F),1
338798,EN(F),3
501394,EF(S),1
522998,EN(T),1
544533,EF(N),3
980225,ET(N),1
3235,EF(N),1
86957,EF(N),1
166021,EF(N),1
197211,EN(F),1
360819,ES(T),1
58353,IN(F),1
96513,IN(T),1
134118,EF(N),1
134136,IN(F),1
218282,IN(F),1
236851,EN(F),1
252081,EF(S),1
405048,ET(N),1
512839,IF(N),1
22628,ES(T),1
42426,ES(F),1
129147,EF(N),1
137106,IN(F),1
180151,EN(F),1
192643,IN(F),1
205240,EF(N),3
246935,EN(F),1
304786,ES(F),2
333946,EN(F),3
372706,ES(F),2
587533,IN(F),1
22569,ES(F),1
47817,EN(T),1
66270,EN(F),1
180093,ET(N),1
257818,IF(N),1
280399,EF(N),1
322728,IN(T),1
334650,EN(F),2
123737,EF(N),2
167811,EF(S),3
232493,EN(F),1
260116,IS(T),1
265116,ES(F),2
329495,ES(F),1
346795,EF(N),1
421178,EF(N),1
441481,ES(T),1
470625,ES(T),1
517742,IF(N),1
520770,EF(N),1
600649,ET(S),1
95830,IF(N),1
109813,ET(S),1
111907,EF(S),1
124311,EF(N),1
124839,IN(F),1
167706,EF(S),1
198160,EN(F),2
252000,EN(F),1
253524,ET(N),1
273395,EF(S),1
332476,IS(T),1
337807,EN(F),1
388350,EN(F),1
396197,ES(T),3
396615,EN(F),2
453555,EN(F),1
560481,ES(F),2
593825,ES(F),1
149412,IN(T),1
314331,IT(S),1
371674,EF(N),1
373164,EN(F),1
415843,IT(S),1
428072,EF(S),7
526824,IS(F),1
583500,IN(T),1
88933,ET(S),1
167251,IF(S),1
229746,IS(F),1
269909,EF(S),1
271650,EF(S),1
276043,ET(N),1
336565,ET(S),1
368834,ES(F),1
375639,EF(N),1
390360,ES(F),1
417093,EN(F),1
451587,EN(T),1
455392,EN(F),1
479733,ET(N),1
495829,EN(T),1
509359,IN(F),1
559919,IF(N),1
563200,IN(F),1
566895,IS(F),1
568231,IN(T),1
577877,EN(F),1
584374,ET(S),1
588262,EF(S),1
593992,EN(F),1
